100 4650
0 1 17
0 2 86
0 3 116
0 4 92
0 5 100
0 6 142
0 7 8
0 8 38
0 9 151
0 10 93
0 11 138
0 12 83
0 13 4
0 14 62
0 15 102
0 16 95
0 17 167
0 18 70
0 19 112
0 20 126
0 21 0
0 22 178
0 23 167
0 24 0
0 25 97
0 26 0
0 27 185
0 28 111
0 29 183
0 30 82
0 31 92
0 32 23
0 33 15
0 34 173
0 35 115
0 36 75
0 37 106
0 38 93
0 39 104
0 40 9
0 41 70
0 42 28
0 43 144
0 44 193
0 45 42
0 46 194
0 47 58
0 48 77
0 49 182
0 50 43
0 51 135
0 52 40
0 53 129
0 54 32
0 55 76
0 56 100
0 57 48
0 58 134
0 59 10
0 60 174
0 61 147
0 62 26
0 63 41
0 64 145
0 65 30
0 66 195
0 67 99
0 68 82
0 69 44
0 70 44
0 71 163
0 72 70
0 73 102
0 74 149
0 75 148
0 76 2
0 77 31
0 78 36
0 79 164
0 80 100
0 81 35
0 82 62
0 83 95
0 84 41
0 85 139
0 86 151
0 87 28
0 88 112
0 89 167
0 90 116
0 91 69
0 92 55
0 93 141
0 94 158
0 95 58
0 96 82
0 97 140
0 98 135
0 99 10
1 2 180
1 3 13
1 4 50
1 5 70
1 6 75
1 7 198
1 8 12
1 9 69
1 10 194
1 11 81
1 12 22
1 13 156
1 14 172
1 15 113
1 16 9
1 17 89
1 18 57
1 19 111
1 20 9
1 21 67
1 22 139
1 23 97
1 24 122
1 25 23
1 26 173
1 27 106
1 28 48
1 29 168
1 30 108
1 31 70
1 32 3
1 33 163
1 34 30
1 35 22
1 36 168
1 37 122
1 38 51
1 39 85
1 40 154
1 41 96
1 42 109
1 43 85
1 44 155
1 45 3
1 46 76
1 47 140
1 48 122
1 49 131
1 50 153
1 51 44
1 52 184
1 53 82
1 54 155
1 55 155
1 56 33
1 57 113
1 58 2
1 59 52
1 60 172
1 61 85
1 62 87
1 63 145
1 64 40
1 65 127
1 66 69
1 67 78
1 68 22
1 69 16
1 70 61
1 71 163
1 72 193
1 73 92
1 74 109
1 75 171
1 76 100
1 77 135
1 78 138
1 79 152
1 80 57
1 81 89
1 82 8
1 83 29
1 84 88
1 85 181
1 86 72
1 87 183
1 88 194
1 89 169
1 90 146
1 91 24
1 92 69
1 93 143
1 94 25
1 95 177
1 96 121
1 97 94
1 98 68
1 99 53
2 3 40
2 4 89
2 5 16
