100 4740
0 1 93
0 2 2
0 3 171
0 4 10
0 5 5
0 6 13
0 7 84
0 8 52
0 9 132
0 10 164
0 11 59
0 12 52
0 13 90
0 14 78
0 15 156
0 16 175
0 17 92
0 18 91
0 19 135
0 20 149
0 21 30
0 22 1
0 23 102
0 24 109
0 25 53
0 26 14
0 27 197
0 28 183
0 29 67
0 30 127
0 31 42
0 32 60
0 33 33
0 34 166
0 35 131
0 36 16
0 37 132
0 38 30
0 39 124
0 40 0
0 41 34
0 42 125
0 43 116
0 44 97
0 45 188
0 46 30
0 47 22
0 48 133
0 49 11
0 50 147
0 51 199
0 52 157
0 53 77
0 54 137
0 55 141
0 56 51
0 57 53
0 58 143
0 59 78
0 60 78
0 61 112
0 62 129
0 63 80
0 64 62
0 65 162
0 66 115
0 67 162
0 68 54
0 69 131
0 70 109
0 71 198
0 72 132
0 73 127
0 74 13
0 75 24
0 76 172
0 77 67
0 78 161
0 79 133
0 80 6
0 81 153
0 82 197
0 83 156
0 84 130
0 85 69
0 86 79
0 87 53
0 88 60
0 89 78
0 90 85
0 91 98
0 92 108
0 93 90
0 94 140
0 95 22
0 96 189
0 97 151
0 98 168
0 99 190
1 2 171
1 3 96
1 4 129
1 5 13
1 6 25
1 7 82
1 8 113
1 9 148
1 10 164
1 11 168
1 12 122
1 13 138
1 14 67
1 15 122
1 16 143
1 17 166
1 18 119
1 19 17
1 20 186
1 21 8
1 22 168
1 23 42
1 24 63
1 25 51
1 26 83
1 27 178
1 28 47
1 29 91
1 30 19
1 31 172
1 32 59
1 33 42
1 34 188
1 35 33
1 36 133
1 37 12
1 38 6
1 39 52
1 40 91
1 41 89
1 42 82
1 43 164
1 44 55
1 45 72
1 46 163
1 47 127
1 48 63
1 49 108
1 50 150
1 51 37
1 52 100
1 53 45
1 54 84
1 55 198
1 56 7
1 57 128
1 58 194
1 59 142
1 60 79
1 61 50
1 62 81
1 63 186
1 64 100
1 65 104
1 66 81
1 67 146
1 68 101
1 69 85
1 70 115
1 71 100
1 72 184
1 73 182
1 74 154
1 75 196
1 76 20
1 77 169
1 78 154
1 79 116
1 80 68
1 81 100
1 82 49
1 83 46
1 84 47
1 85 111
1 86 63
1 87 69
1 88 102
1 89 69
1 90 164
1 91 197
1 92 34
1 93 24
1 94 153
1 95 94
1 96 47
1 97 148
1 98 25
1 99 46
2 3 22
2 4 72
2 5 80
2 6 94
2 7 69
2 8 63
2 9 135
2 10 155
2 11 185
2 12 156
2 13 43
2 14 117
2 15 118
2 16 186
2 17 2
2 18 168
2 19 121
2 20 143
2 21 24
2 22 178
2 23 28
2 24 101
2 25 101
2 26 106
2 27 173
2 28 147
2 29 36
2 30 119
2 31 139
2 32 169
2 33 169
2 34 96
2 35 155
2 36 90
2 37 181
2 38 185
2 39 181
2 40 112
