100 4947
0 1 194
0 2 123
0 3 77
0 4 99
0 5 66
0 6 141
0 7 193
0 8 4
0 9 188
0 10 20
0 11 176
0 12 52
0 13 195
0 14 151
0 15 33
0 16 69
0 17 168
0 18 32
0 19 125
0 20 72
0 21 14
0 22 8
0 23 75
0 24 114
0 25 150
0 26 19
0 27 187
0 28 18
0 29 179
0 30 131
0 31 179
0 32 191
0 33 34
0 34 96
0 35 112
0 36 62
0 37 85
0 38 138
0 39 186
0 40 198
0 41 153
0 42 67
0 43 61
0 44 176
0 45 173
0 46 147
0 47 166
0 48 91
0 49 149
0 50 59
0 51 95
0 52 127
0 53 184
0 54 9
0 55 44
0 56 135
0 57 140
0 58 102
0 59 187
0 60 41
0 61 41
0 62 115
0 63 104
0 64 51
0 65 157
0 66 22
0 67 90
0 68 11
0 69 134
0 70 116
0 71 47
0 72 41
0 73 91
0 74 2
0 75 6
0 76 168
0 77 195
0 78 149
0 79 17
0 80 165
0 81 131
0 82 25
0 83 199
0 84 199
0 85 4
0 86 152
0 87 80
0 88 173
0 89 180
0 90 28
0 91 168
0 92 185
0 93 161
0 94 196
0 95 157
0 96 39
0 97 128
0 98 24
0 99 120
1 2 13
1 3 57
1 4 74
1 5 118
1 6 183
1 7 168
1 8 154
1 9 159
1 10 54
1 11 56
1 12 50
1 13 100
1 14 87
1 15 141
1 16 71
1 17 94
1 18 151
1 19 127
1 20 27
1 21 156
1 22 54
1 23 107
1 24 158
1 25 144
1 26 12
1 27 4
1 28 163
1 29 169
1 30 41
1 31 163
1 32 120
1 33 124
1 34 119
1 35 12
1 36 3
1 37 142
1 38 137
1 39 31
1 40 200
1 41 84
1 42 124
1 43 182
1 44 11
1 45 16
1 46 87
1 47 184
1 48 42
1 49 188
1 50 70
1 51 137
1 52 80
1 53 151
1 54 168
1 55 85
1 56 5
1 57 188
1 58 49
1 59 105
1 60 50
1 61 63
1 62 90
1 63 38
1 64 39
1 65 106
1 66 199
1 67 180
1 68 104
1 69 151
1 70 101
1 71 58
1 72 114
1 73 24
1 74 95
1 75 131
1 76 179
1 77 173
1 78 151
1 79 44
1 80 175
1 81 157
1 82 192
1 83 98
1 84 36
1 85 78
1 86 71
1 87 67
1 88 100
1 89 138
1 90 182
1 91 1
1 92 85
1 93 170
1 94 131
1 95 25
1 96 40
1 97 72
1 98 62
1 99 69
2 3 148
2 4 93
2 5 152
2 6 81
2 7 193
2 8 16
2 9 124
2 10 170
2 11 90
2 12 189
2 13 114
2 14 106
2 15 88
2 16 4
2 17 60
2 18 158
2 19 56
2 20 104
2 21 59
2 22 47
2 23 15
2 24 103
2 25 164
2 26 107
2 27 81
2 28 54
2 29 190
2 30 85
2 31 127
2 32 192
2 33 83
2 34 118
2 35 42
2 36 40
2 37 183
2 38 7
2 39 124
2 40 200
2 41 112
2 42 137
2 43 61
2 44 148
2 45 124
2 46 127
2 47 192
2 48 173
2 49 115
2 50 109
2 51 155
2 52 168
2 53 23
2 54 101
2 55 170
2 56 35
2 57 155
2 58 53
2 59 171
2 60 160
2 61 17
2 62 18
2 63 196
2 64 33
2 65 76
2 66 190
2 67 63
2 68 126
2 69 143
2 70 112
2 71 93
2 72 0
2 73 85
2 74 188
2 75 153
2 76 140
2 77 96
2 78 84
2 79 101
2 80 122
2 81 80
2 82 186
2 83 17
2 84 8
2 85 88
2 86 22
2 87 25
2 88 126
2 89 63
2 90 86
2 91 198
2 92 40
2 93 53
2 94 16
2 95 116
2 96 101
2 97 95
2 98 166
2 99 36
3 4 136
3 5 95
3 6 173
3 7 191
3 8 76
3 9 64
3 10 59
3 11 125
3 12 50
3 13 182
3 14 87
3 15 113
3 16 186
3 17 99
3 18 114
3 19 188
3 20 182
3 21 81
3 22 64
3 23 24
3 24 166
3 25 107
3 26 37
3 27 8
3 28 174
3 29 79
3 30 25
3 31 101
3 32 35
3 33 151
3 34 190
3 35 188
3 36 126
3 37 162
3 38 85
3 39 192
3 40 141
3 41 112
3 42 31
3 43 196
3 44 120
3 45 57
3 46 190
3 47 145
3 48 3
3 49 151
3 50 75
3 51 16
3 52 47
3 53 138
3 54 196
3 55 42
3 56 7
3 57 67
3 58 92
3 59 23
3 60 120
3 61 94
3 62 57
3 63 148
3 64 139
3 65 97
3 66 180
3 67 66
3 68 76
3 69 168
3 70 59
3 71 59
3 72 55
3 73 10
3 74 62
3 75 192
3 76 128
3 77 155
3 78 99
3 79 15
3 80 134
3 81 21
3 82 58
3 83 36
3 84 98
3 85 71
3 86 77
3 87 186
3 88 143
3 89 98
3 90 90
3 91 165
3 92 129
3 93 51
3 94 24
3 95 74
3 96 195
3 97 24
3 98 27
3 99 168
4 5 173
4 6 69
4 7 173
4 8 75
4 9 175
4 10 35
4 11 34
4 12 25
4 13 77
4 14 188
4 15 180
4 16 21
4 17 1
4 18 130
4 19 129
4 20 124
4 21 104
4 22 46
4 23 19
4 24 177
4 25 76
4 26 58
4 27 73
4 28 131
4 29 110
4 30 24
4 31 175
4 32 58
4 33 17
4 34 5
4 35 40
4 36 15
4 37 12
4 38 189
4 39 146
4 40 200
4 41 142
4 42 141
4 43 130
4 44 2
4 45 148
4 46 165
4 47 66
4 48 96
4 49 164
4 50 194
4 51 88
4 52 123
4 53 171
4 54 132
4 55 178
4 56 38
4 57 77
4 58 61
4 59 193
4 60 33
4 61 17
4 62 16
4 63 12
4 64 139
4 65 166
4 66 120
4 67 7
4 68 93
4 69 54
4 70 47
4 71 189
4 72 196
4 73 125
4 74 166
4 75 153
4 76 58
4 77 25
4 78 34
4 79 138
4 80 42
4 81 30
4 82 173
4 83 15
4 84 162
4 85 39
4 86 155
4 87 48
4 88 24
4 89 200
4 90 6
4 91 127
4 92 182
4 93 72
4 94 193
4 95 27
4 96 93
4 97 42
4 98 18
4 99 182
5 6 87
5 7 6
5 8 28
5 9 81
5 10 101
5 11 10
5 12 193
5 13 122
5 14 55
5 15 4
5 16 197
5 17 52
5 18 61
5 19 47
5 20 156
5 21 18
5 22 96
5 23 41
5 24 40
5 25 101
5 26 25
5 27 0
5 28 33
5 29 169
5 30 31
5 31 194
5 32 104
5 33 24
5 34 171
5 35 110
5 36 172
5 37 149
5 38 93
5 39 91
5 40 178
5 41 106
5 42 81
5 43 94
5 44 168
5 45 195
5 46 60
5 47 195
5 48 34
5 49 40
5 50 153
5 51 80
5 52 148
