74 74
0 1 40
1 2 73
2 3 49
3 4 143
4 5 16
5 6 107
6 7 88
7 8 110
8 9 30
9 10 84
10 11 44
11 12 97
12 13 129
13 14 59
14 15 119
15 16 40
16 17 7
17 18 83
18 19 102
19 20 36
20 21 25
21 22 135
22 23 11
23 24 69
24 25 43
25 26 142
26 27 19
27 28 81
28 29 69
29 30 105
30 31 108
31 32 139
32 33 135
33 34 19
34 35 145
35 36 119
36 37 117
37 38 33
38 39 2
39 40 131
40 41 142
41 42 61
42 43 124
43 44 54
44 45 113
45 46 45
46 47 99
47 48 98
48 49 42
49 50 143
50 51 44
51 52 103
52 53 80
53 54 108
54 55 37
55 56 23
56 57 29
57 58 89
58 59 122
59 60 59
60 61 77
61 62 72
62 63 119
63 64 93
64 65 72
65 66 10
66 67 63
67 68 62
68 69 42
69 70 73
70 71 123
71 72 99
72 73 9
73 0 146
