100 4209
0 1 185
0 2 18
0 3 188
0 4 181
0 5 9
0 6 49
0 7 181
0 8 80
0 9 18
0 10 152
0 11 143
0 12 89
0 13 142
0 14 144
0 15 120
0 16 33
0 17 93
0 18 95
0 19 107
0 20 194
0 21 63
0 22 142
0 23 196
0 24 184
0 25 103
0 26 159
0 27 16
0 28 33
0 29 101
0 30 166
0 31 28
0 32 123
0 33 116
0 34 82
0 35 140
0 36 13
0 37 190
0 38 48
0 39 43
0 40 0
0 41 199
0 42 9
0 43 184
0 44 35
0 45 123
0 46 22
0 47 2
0 48 156
0 49 116
0 50 197
0 51 173
0 52 41
0 53 113
0 54 48
0 55 194
0 56 113
0 57 122
0 58 196
0 59 24
0 60 138
0 61 197
0 62 141
0 63 75
0 64 67
0 65 198
0 66 63
0 67 51
0 68 142
0 69 89
0 70 100
0 71 13
0 72 156
0 73 39
0 74 91
0 75 92
0 76 191
0 77 2
0 78 163
0 79 47
0 80 32
0 81 27
0 82 161
0 83 27
0 84 102
0 85 176
0 86 14
0 87 105
0 88 196
0 89 98
0 90 99
0 91 47
0 92 70
0 93 74
0 94 132
0 95 10
0 96 165
0 97 35
0 98 43
0 99 73
1 2 62
1 3 110
1 4 189
1 5 96
1 6 54
1 7 12
1 8 70
1 9 119
1 10 55
1 11 161
1 12 85
1 13 170
1 14 87
1 15 52
1 16 40
1 17 10
1 18 196
1 19 151
1 20 149
1 21 146
1 22 150
1 23 53
1 24 125
1 25 105
1 26 149
1 27 28
1 28 83
1 29 19
1 30 132
1 31 31
1 32 66
1 33 73
1 34 4
1 35 84
1 36 199
1 37 183
1 38 30
1 39 67
1 40 25
1 41 18
1 42 97
1 43 67
1 44 156
1 45 99
1 46 94
1 47 30
1 48 198
1 49 25
1 50 141
1 51 160
1 52 60
1 53 115
1 54 6
1 55 162
1 56 157
1 57 44
1 58 57
1 59 113
1 60 126
1 61 175
1 62 179
1 63 21
1 64 35
1 65 45
1 66 124
1 67 144
1 68 139
1 69 161
1 70 180
1 71 76
1 72 111
1 73 13
1 74 101
1 75 7
1 76 197
1 77 79
1 78 64
1 79 189
1 80 75
1 81 196
1 82 99
1 83 158
1 84 116
1 85 85
1 86 119
1 87 78
1 88 130
1 89 50
1 90 180
1 91 157
1 92 45
1 93 85
1 94 76
1 95 184
1 96 133
1 97 18
1 98 192
1 99 157
2 3 154
2 4 63
2 5 172
2 6 91
2 7 193
2 8 66
2 9 132
2 10 109
2 11 49
2 12 116
2 13 180
2 14 25
2 15 149
2 16 197
2 17 175
2 18 144
2 19 159
2 20 80
2 21 86
2 22 23
2 23 15
2 24 42
2 25 51
2 26 83
2 27 162
2 28 177
2 29 123
2 30 68
2 31 23
2 32 97
2 33 60
2 34 62
2 35 108
2 36 168
2 37 79
2 38 139
2 39 43
2 40 65
2 41 32
2 42 80
2 43 124
2 44 46
2 45 175
2 46 112
2 47 45
2 48 44
2 49 140
2 50 3
2 51 68
2 52 173
2 53 93
2 54 162
2 55 86
2 56 71
2 57 86
2 58 158
2 59 166
2 60 33
2 61 187
2 62 16
2 63 54
2 64 82
2 65 69
2 66 178
2 67 173
2 68 142
2 69 194
2 70 128
2 71 200
2 72 67
2 73 95
2 74 65
2 75 153
2 76 193
2 77 164
2 78 179
2 79 36
2 80 199
2 81 179
2 82 118
2 83 115
2 84 161
2 85 86
2 86 59
2 87 94
2 88 199
2 89 29
2 90 195
2 91 71
2 92 72
2 93 54
2 94 42
2 95 199
2 96 145
2 97 70
2 98 77
2 99 125
3 4 88
3 5 154
3 6 136
3 7 152
3 8 170
3 9 198
3 10 191
3 11 164
3 12 198
3 13 43
3 14 151
3 15 134
3 16 76
3 17 145
3 18 106
3 19 37
3 20 141
3 21 177
3 22 157
3 23 125
3 24 120
3 25 191
3 26 200
3 27 15
3 28 46
3 29 127
3 30 65
3 31 159
3 32 105
3 33 164
3 34 138
3 35 111
3 36 158
3 37 136
3 38 102
3 39 16
3 40 160
3 41 167
3 42 117
3 43 168
3 44 187
3 45 4
3 46 116
3 47 6
3 48 6
3 49 83
3 50 48
3 51 25
3 52 66
3 53 195
3 54 172
3 55 55
3 56 131
3 57 5
3 58 173
3 59 171
3 60 93
3 61 78
3 62 107
3 63 151
3 64 80
3 65 103
3 66 73
3 67 8
3 68 81
3 69 45
3 70 1
3 71 61
3 72 163
3 73 53
3 74 45
3 75 76
