100 100
0 1 196
1 2 36
2 3 70
3 4 103
4 5 83
5 6 180
6 7 81
7 8 176
8 9 132
9 10 190
10 11 153
11 12 115
12 13 160
13 14 199
14 15 60
15 16 200
16 17 3
17 18 183
18 19 81
19 20 45
20 21 91
21 22 25
22 23 74
23 24 186
24 25 81
25 26 148
26 27 107
27 28 189
28 29 55
29 30 38
30 31 156
31 32 123
32 33 62
33 34 155
34 35 159
35 36 188
36 37 3
37 38 184
38 39 154
39 40 36
40 41 51
41 42 172
42 43 26
43 44 14
44 45 80
45 46 152
46 47 54
47 48 103
48 49 45
49 50 60
50 51 41
51 52 158
52 53 125
53 54 37
54 55 11
55 56 193
56 57 108
57 58 155
58 59 169
59 60 69
60 61 194
61 62 123
62 63 144
63 64 150
64 65 98
65 66 27
66 67 155
67 68 152
68 69 83
69 70 193
70 71 42
71 72 97
72 73 75
73 74 88
74 75 51
75 76 114
76 77 63
77 78 126
78 79 177
79 80 49
80 81 108
81 82 164
82 83 138
83 84 37
84 85 192
85 86 26
86 87 37
87 88 30
88 89 133
89 90 159
90 91 18
91 92 110
92 93 6
93 94 20
94 95 15
95 96 87
96 97 155
97 98 161
98 99 195
99 0 149
