100 855
0 1 69
0 2 43
0 3 13
0 4 97
0 5 187
0 6 70
0 7 147
0 8 26
0 9 3
0 10 195
0 11 164
0 12 129
0 13 84
0 14 70
0 15 49
0 16 162
0 17 8
0 18 55
0 19 4
0 20 68
0 21 175
0 22 151
0 23 16
0 24 1
0 25 102
0 26 39
0 27 100
0 28 4
0 29 193
0 30 14
0 31 50
0 32 13
0 33 122
0 34 77
0 35 199
0 36 126
0 37 159
0 38 68
0 39 52
0 40 181
0 41 171
0 42 150
0 43 185
0 44 157
0 45 187
0 46 64
0 47 162
0 48 128
0 49 32
0 50 80
0 51 7
0 52 154
0 53 115
0 54 146
0 55 170
0 56 26
0 57 104
0 58 15
0 59 44
0 60 127
0 61 177
0 62 55
0 63 125
0 64 94
0 65 94
0 66 35
0 67 13
0 68 178
0 69 186
0 70 133
0 71 161
0 72 121
0 73 39
0 74 97
0 75 177
0 76 59
0 77 67
0 78 76
0 79 127
0 80 191
0 81 96
0 82 86
0 83 83
0 84 123
0 85 61
0 86 78
0 87 181
0 88 151
0 89 111
0 90 77
0 91 88
0 92 109
0 93 73
0 94 48
0 95 107
0 96 136
0 97 130
0 98 44
0 99 111
1 2 22
1 3 192
1 4 73
1 5 175
1 6 7
1 7 48
1 8 43
1 9 75
1 10 166
1 11 2
1 12 96
1 13 86
1 14 149
1 15 141
1 16 194
1 17 1
1 18 168
1 19 31
1 20 50
1 21 59
1 22 126
1 23 154
1 24 197
1 25 49
1 26 131
1 27 94
1 28 121
1 29 169
1 30 74
1 31 128
1 32 13
1 33 7
1 34 118
1 35 103
1 36 174
1 37 192
1 38 120
1 39 13
1 40 171
1 41 140
1 42 38
1 43 183
1 44 180
1 45 198
1 46 143
1 47 170
1 48 175
1 49 153
1 50 124
1 51 52
1 52 115
1 53 149
1 54 2
1 55 48
1 56 148
1 57 147
1 58 92
1 59 84
1 60 0
1 61 88
1 62 1
1 63 161
1 64 109
1 65 167
1 66 157
1 67 23
1 68 200
1 69 17
1 70 42
1 71 14
1 72 113
1 73 162
1 74 62
1 75 88
1 76 22
1 77 75
1 78 111
1 79 169
1 80 50
1 81 108
1 82 22
1 83 185
1 84 69
1 85 183
1 86 140
1 87 49
1 88 111
1 89 12
1 90 80
1 91 3
1 92 88
1 93 175
1 94 189
1 95 39
1 96 141
1 97 165
1 98 65
1 99 156
2 3 31
2 4 95
2 5 19
2 6 119
2 7 198
2 8 70
2 9 19
2 10 84
2 11 11
2 12 52
2 13 57
2 14 170
2 15 32
2 16 46
2 17 129
2 18 107
2 19 189
2 20 171
2 21 64
2 22 133
2 23 123
2 24 93
2 25 9
2 26 27
2 27 57
2 28 139
2 29 50
2 30 145
2 31 4
2 32 176
2 33 141
2 34 100
2 35 57
2 36 136
2 37 47
2 38 18
2 39 31
2 40 84
2 41 106
2 42 151
2 43 21
2 44 75
2 45 48
2 46 64
2 47 170
2 48 107
2 49 88
2 50 33
2 51 97
2 52 171
2 53 81
2 54 191
2 55 145
2 56 132
2 57 192
2 58 45
2 59 85
2 60 27
2 61 194
2 62 110
2 63 168
2 64 161
2 65 132
2 66 150
2 67 90
2 68 20
2 69 33
2 70 80
2 71 149
2 72 119
2 73 32
2 74 122
2 75 117
2 76 8
2 77 133
2 78 75
2 79 173
2 80 200
2 81 9
2 82 38
2 83 200
2 84 47
2 85 110
2 86 189
2 87 181
2 88 26
2 89 116
2 90 140
2 91 57
2 92 93
2 93 4
2 94 141
2 95 182
2 96 180
2 97 149
2 98 25
2 99 67
3 4 11
3 5 6
3 6 73
3 7 117
3 8 182
3 9 110
3 10 43
3 11 166
3 12 1
3 13 115
3 14 17
3 15 28
3 16 193
3 17 114
3 18 193
3 19 18
3 20 17
3 21 196
3 22 187
3 23 96
3 24 117
3 25 109
3 26 106
3 27 179
3 28 4
3 29 104
3 30 186
3 31 188
3 32 175
3 33 153
3 34 153
3 35 61
3 36 93
3 37 90
3 38 62
3 39 155
3 40 69
3 41 148
3 42 17
3 43 185
3 44 198
3 45 45
3 46 1
3 47 28
3 48 156
3 49 138
3 50 77
3 51 114
3 52 174
3 53 95
3 54 63
3 55 11
3 56 119
3 57 117
3 58 9
3 59 189
3 60 12
3 61 116
3 62 76
3 63 78
3 64 189
3 65 119
3 66 106
3 67 84
3 68 163
3 69 28
3 70 132
3 71 194
3 72 92
3 73 106
3 74 28
3 75 108
3 76 97
3 77 102
3 78 95
3 79 147
3 80 149
3 81 154
3 82 131
3 83 18
3 84 13
3 85 49
3 86 175
3 87 191
3 88 76
3 89 84
3 90 116
3 91 24
3 92 142
3 93 93
3 94 38
3 95 116
3 96 138
3 97 70
3 98 75
3 99 172
4 5 42
4 6 60
4 7 50
4 8 189
4 9 93
4 10 192
4 11 179
4 12 137
4 13 40
4 14 199
4 15 83
4 16 78
4 17 40
4 18 142
4 19 84
4 20 107
4 21 102
4 22 198
4 23 154
4 24 159
4 25 118
4 26 177
4 27 149
4 28 188
4 29 31
4 30 61
4 31 106
4 32 62
4 33 180
4 34 67
4 35 85
4 36 48
4 37 21
4 38 60
4 39 191
4 40 176
4 41 131
4 42 156
4 43 142
4 44 72
4 45 19
4 46 108
