67 67
0 1 50
1 2 121
2 3 59
3 4 80
4 5 9
5 6 7
6 7 63
7 8 100
8 9 112
9 10 123
10 11 27
11 12 51
12 13 131
13 14 10
14 15 134
15 16 9
16 17 34
17 18 53
18 19 107
19 20 11
20 21 77
21 22 44
22 23 78
23 24 99
24 25 33
25 26 53
26 27 9
27 28 129
28 29 75
29 30 121
30 31 70
31 32 65
32 33 7
33 34 40
34 35 119
35 36 122
36 37 46
37 38 16
38 39 125
39 40 21
40 41 121
41 42 65
42 43 129
43 44 129
44 45 76
45 46 89
46 47 12
47 48 68
48 49 39
49 50 127
50 51 60
51 52 69
52 53 14
53 54 120
54 55 128
55 56 87
56 57 81
57 58 61
58 59 22
59 60 11
60 61 124
61 62 10
62 63 18
63 64 79
64 65 21
65 66 18
66 0 112
