78 78
0 1 128
1 2 112
2 3 43
3 4 21
4 5 108
5 6 45
6 7 143
7 8 155
8 9 153
9 10 38
10 11 15
11 12 144
12 13 69
13 14 154
14 15 15
15 16 36
16 17 1
17 18 98
18 19 42
19 20 77
20 21 59
21 22 68
22 23 129
23 24 4
24 25 65
25 26 85
26 27 132
27 28 44
28 29 36
29 30 154
30 31 95
31 32 147
32 33 126
33 34 129
34 35 42
35 36 14
36 37 20
37 38 141
38 39 114
39 40 103
40 41 40
41 42 107
42 43 41
43 44 16
44 45 62
45 46 19
46 47 100
47 48 45
48 49 70
49 50 105
50 51 6
51 52 3
52 53 35
53 54 93
54 55 133
55 56 153
56 57 28
57 58 28
58 59 70
59 60 102
60 61 81
61 62 107
62 63 53
63 64 129
64 65 118
65 66 138
66 67 102
67 68 148
68 69 29
69 70 47
70 71 134
71 72 41
72 73 120
73 74 55
74 75 117
75 76 75
76 77 129
77 0 113
