100 4830
0 1 116
0 2 50
0 3 94
0 4 63
0 5 78
0 6 155
0 7 101
0 8 100
0 9 11
0 10 186
0 11 17
0 12 71
0 13 159
0 14 60
0 15 80
0 16 185
0 17 140
0 18 76
0 19 8
0 20 81
0 21 103
0 22 168
0 23 139
0 24 69
0 25 196
0 26 124
0 27 132
0 28 34
0 29 95
0 30 137
0 31 173
0 32 77
0 33 164
0 34 23
0 35 9
0 36 37
0 37 21
0 38 166
0 39 33
0 40 157
0 41 60
0 42 34
0 43 7
0 44 127
0 45 91
0 46 53
0 47 33
0 48 148
0 49 27
0 50 30
0 51 192
0 52 134
0 53 148
0 54 76
0 55 133
0 56 47
0 57 139
0 58 107
0 59 59
0 60 180
0 61 30
0 62 87
0 63 162
0 64 180
0 65 130
0 66 28
0 67 93
0 68 194
0 69 168
0 70 104
0 71 161
0 72 69
0 73 157
0 74 189
0 75 11
0 76 30
0 77 133
0 78 113
0 79 49
0 80 98
0 81 117
0 82 42
0 83 21
0 84 143
0 85 87
0 86 1
0 87 82
0 88 13
0 89 180
0 90 139
0 91 73
0 92 166
0 93 55
0 94 179
0 95 105
0 96 94
0 97 96
0 98 73
0 99 72
1 2 15
1 3 114
1 4 73
1 5 182
1 6 153
1 7 69
1 8 56
1 9 130
1 10 61
1 11 93
1 12 181
1 13 29
1 14 199
1 15 28
1 16 184
1 17 95
1 18 54
1 19 78
1 20 144
1 21 67
1 22 19
1 23 36
1 24 51
1 25 106
1 26 188
1 27 178
1 28 74
1 29 15
1 30 32
1 31 127
1 32 2
1 33 184
1 34 36
1 35 180
1 36 65
1 37 50
1 38 105
1 39 27
1 40 46
1 41 187
1 42 61
1 43 133
1 44 53
1 45 25
1 46 78
1 47 33
1 48 194
1 49 51
1 50 35
1 51 84
1 52 149
1 53 3
1 54 55
1 55 137
1 56 160
1 57 48
1 58 111
1 59 181
1 60 179
1 61 58
1 62 89
1 63 198
1 64 86
1 65 30
1 66 87
1 67 66
1 68 57
1 69 111
1 70 199
1 71 187
1 72 168
1 73 45
1 74 153
1 75 157
1 76 77
1 77 86
1 78 13
1 79 112
1 80 45
1 81 92
1 82 117
1 83 10
1 84 194
1 85 164
1 86 48
1 87 64
1 88 117
1 89 13
1 90 19
1 91 141
1 92 198
1 93 130
1 94 21
1 95 152
1 96 56
1 97 90
1 98 174
1 99 95
2 3 11
2 4 196
2 5 150
2 6 62
2 7 1
2 8 150
2 9 52
2 10 86
2 11 64
2 12 124
2 13 66
2 14 84
2 15 157
2 16 75
2 17 78
2 18 84
2 19 49
2 20 115
2 21 43
2 22 106
2 23 190
2 24 76
2 25 76
2 26 106
2 27 99
2 28 7
2 29 75
2 30 111
2 31 101
2 32 53
2 33 22
2 34 105
2 35 122
2 36 110
2 37 13
2 38 174
2 39 147
2 40 1
2 41 172
2 42 85
2 43 140
2 44 77
2 45 199
2 46 169
2 47 111
2 48 151
2 49 77
2 50 12
2 51 195
2 52 197
2 53 145
2 54 145
2 55 49
2 56 105
2 57 40
2 58 87
2 59 140
2 60 190
2 61 90
2 62 118
2 63 75
2 64 36
2 65 96
2 66 25
2 67 8
2 68 100
2 69 97
2 70 95
2 71 126
2 72 22
2 73 94
2 74 179
2 75 31
2 76 127
2 77 172
2 78 7
2 79 20
2 80 64
2 81 27
2 82 116
2 83 187
2 84 76
2 85 4
2 86 115
2 87 78
2 88 118
2 89 139
2 90 136
2 91 164
2 92 23
2 93 100
2 94 103
2 95 31
2 96 41
2 97 75
2 98 82
2 99 80
3 4 96
3 5 148
