100 1947
0 1 157
0 2 2
0 3 58
0 4 78
0 5 143
0 6 28
0 7 94
0 8 70
0 9 148
0 10 142
0 11 33
0 12 108
0 13 147
0 14 17
0 15 35
0 16 67
0 17 38
0 18 32
0 19 48
0 20 8
0 21 106
0 22 199
0 23 145
0 24 58
0 25 138
0 26 141
0 27 98
0 28 140
0 29 163
0 30 62
0 31 76
0 32 199
0 33 169
0 34 84
0 35 111
0 36 48
0 37 29
0 38 71
0 39 121
0 40 199
0 41 159
0 42 132
0 43 63
0 44 88
0 45 74
0 46 159
0 47 128
0 48 92
0 49 145
0 50 20
0 51 13
0 52 124
0 53 29
0 54 89
0 55 117
0 56 166
0 57 138
0 58 15
0 59 136
0 60 110
0 61 102
0 62 134
0 63 147
0 64 86
0 65 79
0 66 40
0 67 100
0 68 51
0 69 170
0 70 100
0 71 96
0 72 124
0 73 192
0 74 38
0 75 150
0 76 89
0 77 187
0 78 123
0 79 151
0 80 1
0 81 25
0 82 61
0 83 149
0 84 132
0 85 120
0 86 193
0 87 16
0 88 87
0 89 69
0 90 178
0 91 181
0 92 187
0 93 108
0 94 58
0 95 63
0 96 186
0 97 31
0 98 117
0 99 195
1 2 191
1 3 90
1 4 125
1 5 37
1 6 70
1 7 12
1 8 2
1 9 196
1 10 109
1 11 123
1 12 10
1 13 59
1 14 138
1 15 16
1 16 17
1 17 184
1 18 27
1 19 171
1 20 88
1 21 179
1 22 27
1 23 46
1 24 167
1 25 67
1 26 40
1 27 169
1 28 65
1 29 59
1 30 72
1 31 180
1 32 159
1 33 110
1 34 182
1 35 140
1 36 22
1 37 11
1 38 38
1 39 41
1 40 33
1 41 152
1 42 106
1 43 9
1 44 23
1 45 175
1 46 123
1 47 195
1 48 58
1 49 54
1 50 48
1 51 65
1 52 185
1 53 29
1 54 192
1 55 64
1 56 70
1 57 183
1 58 56
1 59 144
1 60 118
1 61 195
1 62 24
1 63 191
1 64 151
1 65 108
1 66 186
1 67 108
1 68 149
1 69 162
1 70 165
1 71 102
1 72 14
1 73 127
1 74 56
1 75 129
1 76 168
1 77 10
1 78 140
1 79 62
1 80 107
1 81 85
1 82 57
1 83 186
1 84 104
1 85 68
1 86 132
1 87 155
1 88 157
1 89 96
1 90 189
1 91 17
1 92 25
1 93 60
1 94 88
1 95 181
1 96 107
1 97 40
1 98 98
1 99 192
2 3 87
2 4 98
2 5 77
2 6 64
2 7 199
2 8 187
2 9 134
2 10 76
2 11 179
2 12 137
2 13 182
2 14 154
2 15 170
2 16 185
2 17 28
2 18 187
2 19 106
2 20 89
2 21 135
2 22 181
2 23 90
2 24 56
2 25 59
2 26 121
2 27 118
2 28 64
2 29 158
2 30 123
2 31 165
2 32 195
2 33 71
2 34 151
2 35 156
2 36 42
2 37 26
2 38 103
2 39 122
2 40 76
2 41 135
2 42 96
2 43 65
2 44 70
2 45 120
2 46 147
2 47 153
2 48 111
2 49 112
2 50 3
2 51 168
2 52 143
2 53 60
2 54 61
2 55 100
2 56 77
2 57 44
2 58 73
2 59 77
2 60 68
2 61 46
2 62 9
2 63 38
2 64 182
2 65 38
2 66 169
2 67 91
2 68 175
2 69 83
2 70 81
2 71 61
2 72 56
2 73 86
2 74 17
2 75 148
2 76 139
2 77 21
2 78 104
2 79 181
2 80 124
2 81 15
2 82 100
2 83 136
2 84 46
2 85 91
2 86 31
2 87 58
2 88 30
2 89 26
2 90 75
2 91 160
2 92 92
2 93 39
2 94 44
2 95 78
2 96 18
2 97 184
2 98 27
2 99 79
3 4 105
3 5 165
3 6 132
3 7 45
3 8 120
3 9 109
3 10 2
3 11 193
3 12 10
3 13 92
3 14 199
3 15 75
3 16 131
3 17 84
3 18 147
3 19 52
3 20 178
3 21 86
3 22 188
3 23 6
3 24 70
3 25 131
3 26 93
3 27 86
3 28 126
3 29 59
3 30 30
3 31 0
3 32 84
3 33 8
3 34 138
3 35 143
3 36 116
3 37 52
3 38 139
3 39 34
3 40 66
3 41 98
3 42 17
3 43 13
3 44 188
3 45 61
3 46 155
3 47 9
3 48 154
3 49 179
3 50 107
3 51 127
3 52 170
3 53 153
3 54 129
3 55 83
3 56 59
3 57 94
3 58 85
3 59 95
3 60 174
3 61 22
3 62 42
3 63 189
3 64 106
3 65 186
3 66 147
3 67 105
3 68 172
3 69 189
3 70 57
3 71 8
3 72 193
3 73 102
3 74 158
3 75 66
3 76 135
3 77 65
3 78 48
3 79 56
3 80 27
3 81 81
3 82 173
3 83 163
3 84 4
3 85 118
3 86 84
3 87 158
3 88 42
3 89 165
3 90 2
3 91 10
3 92 158
3 93 182
3 94 195
3 95 156
3 96 93
3 97 155
3 98 199
3 99 174
4 5 26
4 6 179
4 7 127
4 8 97
4 9 46
4 10 142
4 11 173
4 12 13
4 13 159
4 14 16
4 15 198
4 16 30
4 17 194
4 18 188
4 19 181
4 20 46
4 21 5
4 22 195
4 23 189
4 24 123
4 25 116
4 26 46
4 27 132
4 28 193
4 29 117
4 30 1
4 31 1
4 32 44
4 33 139
4 34 186
4 35 181
4 36 197
4 37 14
4 38 19
4 39 195
4 40 12
4 41 178
4 42 165
4 43 40
4 44 39
4 45 179
4 46 89
4 47 127
4 48 11
4 49 124
4 50 100
4 51 89
4 52 124
4 53 67
4 54 2
4 55 113
4 56 126
4 57 83
4 58 91
4 59 25
4 60 52
4 61 162
4 62 152
4 63 146
4 64 14
4 65 194
4 66 114
4 67 133
4 68 143
4 69 111
4 70 86
4 71 154
4 72 149
4 73 6
4 74 90
4 75 38
4 76 87
4 77 118
4 78 45
4 79 32
4 80 106
4 81 132
4 82 130
4 83 69
4 84 179
4 85 8
4 86 116
4 87 0
4 88 136
4 89 124
4 90 14
4 91 90
4 92 16
4 93 186
4 94 12
4 95 115
4 96 89
4 97 151
4 98 184
4 99 47
5 6 165
5 7 68
5 8 84
5 9 14
5 10 32
5 11 80
5 12 177
5 13 161
5 14 15
5 15 7
5 16 126
5 17 143
5 18 182
5 19 95
5 20 86
5 21 94
5 22 172
5 23 41
5 24 198
5 25 180
5 26 135
5 27 162
5 28 167
5 29 96
5 30 3
5 31 113
5 32 42
5 33 187
5 34 12
5 35 14
5 36 162
5 37 98
5 38 122
5 39 132
5 40 98
5 41 34
5 42 83
5 43 142
5 44 158
5 45 185
